2023-06-13 19:49:50.480 [info] Log level: Info
2023-06-13 19:49:50.480 [info] Validating found git in: "git"
2023-06-13 19:49:50.480 [info] Using git "2.34.1" from "git"
2023-06-13 19:49:50.481 [info] > git rev-parse --show-toplevel [9ms]
2023-06-13 19:49:50.481 [info] > git rev-parse --show-toplevel [2ms]
2023-06-13 19:49:50.481 [info] > git rev-parse --show-toplevel [1ms]
2023-06-13 19:49:50.481 [info] > git rev-parse --show-toplevel [1ms]
2023-06-13 19:49:50.481 [info] > git rev-parse --show-toplevel [1ms]
2023-06-13 19:53:03.505 [info] > git rev-parse --show-toplevel [87ms]
2023-06-13 19:53:09.397 [info] > git rev-parse --show-toplevel [3ms]
2023-06-13 19:53:10.708 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 19:53:28.196 [info] > git rev-parse --show-toplevel [7ms]
2023-06-13 19:54:19.368 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 19:54:20.612 [info] > git rev-parse --show-toplevel [82ms]
2023-06-13 19:54:22.573 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 19:54:32.762 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 19:57:54.726 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 19:57:57.879 [info] > git rev-parse --show-toplevel [7ms]
2023-06-13 19:58:00.001 [info] > git rev-parse --show-toplevel [7ms]
2023-06-13 19:58:00.869 [info] > git rev-parse --show-toplevel [11ms]
2023-06-13 19:58:02.305 [info] > git rev-parse --show-toplevel [1ms]
2023-06-13 19:58:02.982 [info] > git rev-parse --show-toplevel [5ms]
2023-06-13 19:58:04.238 [info] > git rev-parse --show-toplevel [244ms]
2023-06-13 19:58:05.242 [info] > git rev-parse --show-toplevel [6ms]
2023-06-13 19:58:06.027 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 19:58:07.076 [info] > git rev-parse --show-toplevel [6ms]
2023-06-13 19:58:11.264 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 19:58:47.787 [info] > git rev-parse --show-toplevel [7ms]
2023-06-13 20:01:45.063 [info] > git rev-parse --show-toplevel [8ms]
2023-06-13 20:01:51.449 [info] > git rev-parse --show-toplevel [7ms]
2023-06-13 20:02:04.754 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 20:02:34.816 [info] > git rev-parse --show-toplevel [5ms]
2023-06-13 20:02:36.752 [info] > git rev-parse --show-toplevel [6ms]
2023-06-13 20:02:48.246 [info] > git rev-parse --show-toplevel [6ms]
2023-06-13 20:02:49.898 [info] > git rev-parse --show-toplevel [4ms]
2023-06-13 20:03:10.136 [info] > git rev-parse --show-toplevel [9ms]
